100 30 3923 201 1024 395 838 224 1236 252 318 320 959 29 384 460 701 475 485 206 558 491 1055 134 400 413 224 79 405 471 157 437 177 62 137 450 206 225 923 294 1078 342 715 37 120 348 848 423 175 82 128 84 323 285 967 74 299 191 1152 305 263 58 241
101 30 3741 439 620 229 388 427 305 413 1220 133 254 36 1021 476 634 368 250 58 801 141 1123 13 209 446 913 251 699 217 513 7 809 201 228 390 191 404 444 353 1226 326 708 11 346 433 144 213 182 303 514 411 295 238 25 4 36 40 754 484 358 17 342
102 30 4197 269 1069 319 158 9 473 351 463 198 1177 171 60 374 1205 454 189 489 6 304 1001 403 41 377 906 428 916 159 1014 376 527 105 144 448 776 301 558 498 901 21 547 179 1043 106 53 349 911 491 87 19 1044 439 171 186 1066 178 114 83 336 310 965
103 30 3849 333 1203 162 858 105 821 457 6 341 253 286 485 461 1190 84 723 32 522 93 75 211 763 363 378 190 328 460 1128 204 1122 444 388 74 1207 496 179 277 952 470 57 423 704 119 113 139 591 144 411 321 871 298 683 350 340 10 161 69 65 282 12
104 30 4094 452 1106 320 549 386 846 251 421 417 409 445 723 27 807 111 969 53 1123 4 623 345 654 407 944 493 1166 355 163 332 1136 276 533 343 345 82 1228 190 184 250 1107 92 1195 431 868 103 41 188 905 414 442 258 1095 433 554 189 450 158 1101 383 395
105 30 3682 376 18 488 470 451 215 11 134 317 469 77 863 399 444 465 1190 233 222 205 424 350 814 268 1135 117 1206 186 626 408 1069 271 33 86 8 104 1036 324 1115 169 1242 83 745 354 232 290 171 273 22 142 329 298 991 65 977 111 873 163 736 280 1231
106 30 4441 6 915 316 615 18 851 439 132 371 930 215 365 284 798 256 806 320 629 447 148 426 1039 141 843 266 251 280 1089 346 1010 344 1010 325 959 278 527 249 159 397 428 475 613 313 272 470 720 193 598 416 442 376 557 185 218 174 1037 432 1203 125 777
107 30 4209 314 71 389 740 131 666 16 629 426 264 408 401 478 1073 274 947 42 1069 396 60 362 1021 218 1046 488 891 185 771 195 559 400 860 129 1038 349 509 453 466 489 230 331 1147 482 558 321 256 106 362 1 523 287 624 240 435 111 982 369 234 28 779
108 30 4067 133 387 10 522 87 870 224 154 109 55 484 857 287 393 177 1042 248 1140 319 351 413 707 152 1243 186 134 213 771 13 992 403 150 251 776 486 870 249 1140 330 554 475 186 340 118 214 1233 217 854 169 118 359 1142 371 852 430 856 416 1200 369 907
109 30 3642 455 768 259 980 105 731 81 494 310 986 71 348 177 438 413 11 256 1016 163 425 235 1123 168 606 76 847 461 742 149 829 500 1205 448 259 286 1053 239 218 148 1150 55 820 247 83 257 410 343 365 27 357 289 364 230 1206 219 1157 405 31 212 1148
110 30 3130 211 159 258 598 63 1246 66 563 247 972 132 346 55 241 5 1147 105 1133 106 245 496 687 200 66 343 1206 97 93 212 1160 342 172 170 349 270 233 446 437 147 544 158 1130 389 1212 370 495 461 826 128 418 70 725 104 122 41 548 429 989 140 891
111 30 4020 148 833 414 1067 283 683 401 580 369 1149 124 129 29 762 90 1250 257 152 76 486 319 747 210 524 470 852 72 1 442 563 391 441 396 804 258 178 339 510 59 409 233 437 437 244 379 186 132 1113 87 303 462 797 250 647 33 44 423 484 457 1079
112 30 3233 241 486 269 103 95 679 11 827 116 799 71 596 336 172 329 1051 9 631 262 657 207 1044 258 955 77 51 266 601 285 1222 281 127 60 901 479 654 80 841 333 297 139 255 244 225 28 72 127 286 203 638 44 1011 283 1052 465 961 454 481 414 488
113 30 3788 304 1046 115 1215 447 945 221 1026 286 1053 72 924 159 1065 250 686 238 228 74 690 117 552 270 17 460 724 99 475 313 4 271 779 469 967 224 689 94 1009 241 1017 284 751 331 886 436 818 113 9 360 830 478 911 181 599 279 1242 174 377 217 339
114 30 2974 131 737 117 349 55 340 139 250 200 379 16 1086 129 846 73 166 265 787 277 976 116 106 387 296 204 415 288 980 394 856 68 126 194 1184 326 1100 376 464 99 677 114 614 174 959 186 1089 75 973 365 51 190 220 289 588 26 55 477 857 198 582
115 30 4415 174 1175 377 959 250 976 436 963 74 863 406 1187 476 329 497 514 168 173 88 384 473 527 206 1113 466 583 418 942 189 967 125 1214 392 251 422 141 328 1210 354 1151 72 509 439 1149 190 1037 264 1209 210 851 92 284 480 1149 147 195 231 64 387 669
116 30 3788 30 363 132 773 364 406 414 793 115 767 444 38 377 734 288 1168 21 552 126 480 254 320 233 218 261 678 449 1176 416 219 58 1028 203 580 493 108 243 36 74 1111 479 713 90 314 250 7 84 153 485 165 407 304 280 889 123 790 316 71 68 981
117 30 3560 142 625 361 94 454 103 303 299 388 978 261 968 190 350 282 41 209 967 296 545 382 702 98 911 192 220 200 860 143 17 442 784 243 302 479 799 7 31 97 746 8 107 464 299 59 597 339 1119 165 736 163 296 39 112 206 731 183 508 325 626
118 30 3422 235 460 119 389 438 917 395 320 115 390 429 1073 455 477 233 403 168 351 68 403 365 1215 192 976 171 274 11 428 215 1187 155 699 147 23 189 686 291 833 358 655 75 36 80 1131 263 1062 136 180 15 55 434 1129 19 125 207 41 398 1217 468 1112
119 30 3854 403 475 413 401 247 703 189 390 388 1046 146 462 331 475 194 445 37 931 226 551 235 160 281 1106 284 237 182 203 466 645 458 940 409 608 38 862 46 677 249 341 73 562 274 1149 107 718 185 890 296 837 455 220 238 456 329 271 261 1044 268 1070
